"","tfidf simlarity","edit distance","edit distance similarity"
"( 0 , 0 )",1,0,1
"( 0 , 1 )",0.571428571428571,60,0.166666666666667
"( 0 , 2 )",0.881917103688197,26,0.711111111111111
"( 0 , 3 )",0,59,0.169014084507042
"( 0 , 4 )",0,56,0.138461538461538
"( 0 , 5 )",0.169030850945703,50,0.230769230769231
"( 0 , 6 )",0,59,0.157142857142857
"( 0 , 7 )",0,51,0.215384615384615
"( 0 , 8 )",0,111,0.23972602739726
"( 0 , 9 )",0.101015254455221,100,0.234848484848485
"( 0 , 10 )",0,60,0.220779220779221
"( 0 , 11 )",0,48,0.261538461538461
"( 0 , 12 )",0,70,0.230769230769231
"( 0 , 13 )",0,59,0.142857142857143
"( 0 , 14 )",0,64,0.189873417721519
"( 0 , 15 )",0,56,0.138461538461538
"( 0 , 16 )",0.119522860933439,72,0.172413793103448
"( 0 , 17 )",0,53,0.184615384615385
"( 0 , 18 )",0.125988157669742,70,0.230769230769231
"( 0 , 19 )",0,51,0.215384615384615
"( 0 , 20 )",0.119522860933439,58,0.265822784810127
"( 0 , 21 )",0,57,0.183098591549296
"( 0 , 22 )",0,54,0.166666666666667
"( 0 , 23 )",0,66,0.258426966292135
"( 0 , 24 )",0.125988157669742,64,0.247058823529412
"( 0 , 25 )",0.142857142857143,57,0.149253731343284
"( 0 , 26 )",0,72,0.191011235955056
"( 0 , 27 )",0.169030850945703,51,0.215384615384615
"( 0 , 28 )",0,79,0.202020202020202
"( 0 , 29 )",0,53,0.184615384615385
"( 0 , 30 )",0,59,0.106060606060606
"( 0 , 31 )",0.119522860933439,66,0.232558139534884
"( 0 , 32 )",0,52,0.2
"( 0 , 33 )",0.125988157669742,65,0.155844155844156
"( 0 , 34 )",0,54,0.169230769230769
"( 0 , 35 )",0,51,0.215384615384615
"( 0 , 36 )",0,52,0.2
"( 0 , 37 )",0,49,0.246153846153846
"( 0 , 38 )",0.15762208124782,122,0.197368421052632
"( 0 , 39 )",0,51,0.215384615384615
"( 0 , 40 )",0.154303349962092,53,0.184615384615385
"( 0 , 41 )",0.218217890235992,61,0.175675675675676
"( 0 , 42 )",0.133630620956212,59,0.233766233766234
"( 0 , 43 )",0.125988157669742,61,0.197368421052632
"( 0 , 44 )",0,53,0.184615384615385
"( 0 , 45 )",0,74,0.212765957446808
"( 0 , 46 )",0.119522860933439,68,0.209302325581395
"( 0 , 47 )",0.133630620956212,59,0.169014084507042
"( 0 , 48 )",0,55,0.153846153846154
"( 0 , 49 )",0,50,0.230769230769231
"( 0 , 50 )",0.285714285714286,55,0.2
"( 0 , 51 )",0,55,0.153846153846154
"( 0 , 52 )",0.133630620956212,54,0.225352112676056
"( 0 , 53 )",0,74,0.237113402061856
"( 0 , 54 )",0,61,0.164383561643836
"( 0 , 55 )",0,80,0.191919191919192
"( 0 , 56 )",0,54,0.194029850746269
"( 0 , 57 )",0,55,0.153846153846154
"( 0 , 58 )",0.227921152919276,56,0.164179104477612
"( 0 , 59 )",0.125988157669742,65,0.133333333333333
"( 0 , 60 )",0,53,0.184615384615385
"( 0 , 61 )",0,68,0.25
"( 0 , 62 )",0,66,0.214285714285714
"( 0 , 63 )",0.133630620956212,63,0.171052631578947
"( 0 , 64 )",0,53,0.184615384615385
"( 0 , 65 )",0.239045721866879,54,0.181818181818182
"( 0 , 66 )",0,62,0.138888888888889
"( 0 , 67 )",0.133630620956212,62,0.184210526315789
"( 0 , 68 )",0,52,0.2
"( 0 , 69 )",0,58,0.107692307692308
"( 0 , 70 )",0.142857142857143,56,0.164179104477612
"( 0 , 71 )",0,61,0.164383561643836
"( 0 , 72 )",0.133630620956212,53,0.23943661971831
"( 0 , 73 )",0.133630620956212,69,0.241758241758242
"( 0 , 74 )",0.154303349962092,52,0.2
"( 0 , 75 )",0.125988157669742,70,0.239130434782609
"( 0 , 76 )",0.133630620956212,59,0.253164556962025
"( 0 , 77 )",0,63,0.275862068965517
"( 0 , 78 )",0,51,0.215384615384615
"( 0 , 79 )",0,58,0.121212121212121
"( 0 , 80 )",0,52,0.2
"( 0 , 81 )",0,53,0.184615384615385
"( 0 , 82 )",0,52,0.2
"( 0 , 83 )",0,54,0.25
"( 0 , 84 )",0,60,0.178082191780822
"( 0 , 85 )",0,88,0.207207207207207
"( 0 , 86 )",0,58,0.107692307692308
"( 0 , 87 )",0,61,0.152777777777778
"( 0 , 88 )",0,58,0.226666666666667
"( 0 , 89 )",0,56,0.197183098591549
"( 0 , 90 )",0,52,0.2
"( 0 , 91 )",0,53,0.181818181818182
"( 0 , 92 )",0.133630620956212,70,0.230769230769231
"( 0 , 93 )",0.169030850945703,50,0.230769230769231
"( 0 , 94 )",0.285714285714286,54,0.214285714285714
"( 0 , 95 )",0,52,0.2
"( 0 , 96 )",0,69,0.197674418604651
"( 0 , 97 )",0.113960576459638,75,0.247524752475248
"( 0 , 98 )",0,59,0.202702702702703
"( 0 , 99 )",0,69,0.197674418604651
"( 0 , 100 )",0,62,0.261904761904762
"( 0 , 101 )",0,67,0.202380952380952
"( 0 , 102 )",0.154303349962092,58,0.107692307692308
"( 0 , 103 )",0.133630620956212,53,0.26027397260274
"( 0 , 104 )",0.104828483672192,86,0.230088495575221
"( 0 , 105 )",0,57,0.123076923076923
"( 0 , 106 )",0,61,0.175675675675676
"( 0 , 107 )",0.133630620956212,64,0.168831168831169
"( 0 , 108 )",0,65,0.197530864197531
"( 0 , 109 )",0,79,0.202020202020202
"( 0 , 110 )",0,81,0.19
"( 0 , 111 )",0,70,0.239130434782609
"( 0 , 112 )",0,51,0.215384615384615
"( 0 , 113 )",0,78,0.212121212121212
"( 0 , 114 )",0,94,0.189655172413793
"( 0 , 115 )",0,67,0.252747252747253
"( 0 , 116 )",0,73,0.223404255319149
"( 0 , 117 )",0.142857142857143,42,0.44
"( 0 , 118 )",0.119522860933439,69,0.258064516129032
"( 0 , 119 )",0.109108945117996,63,0.267441860465116
"( 0 , 120 )",0,80,0.207920792079208
"( 0 , 121 )",0,69,0.258064516129032
"( 0 , 122 )",0,91,0.165137614678899
"( 0 , 123 )",0,75,0.210526315789474
"( 0 , 124 )",0,72,0.25
"( 0 , 125 )",0.104828483672192,99,0.220472440944882
"( 0 , 126 )",0,73,0.231578947368421
"( 0 , 127 )",0,80,0.252336448598131
"( 0 , 128 )",0,85,0.227272727272727
"( 0 , 129 )",0,74,0.204301075268817
"( 0 , 130 )",0,64,0.280898876404494
"( 0 , 131 )",0,62,0.215189873417722
"( 0 , 132 )",0,79,0.233009708737864
"( 0 , 133 )",0,66,0.223529411764706
"( 0 , 134 )",0,60,0.186666666666667
"( 0 , 135 )",0,82,0.240740740740741
"( 0 , 136 )",0,69,0.233333333333333
"( 0 , 137 )",0,56,0.138461538461538
"( 0 , 138 )",0,56,0.138461538461538
"( 0 , 139 )",0,48,0.261538461538461
"( 0 , 140 )",0.188982236504614,51,0.215384615384615
"( 0 , 141 )",0,54,0.169230769230769
"( 0 , 142 )",0,53,0.184615384615385
"( 0 , 143 )",0,54,0.169230769230769
"( 0 , 144 )",0,51,0.215384615384615
"( 0 , 145 )",0,53,0.184615384615385
"( 0 , 146 )",0,50,0.230769230769231
"( 0 , 147 )",0.125988157669742,55,0.138461538461538
"( 0 , 148 )",0,51,0.215384615384615
"( 0 , 149 )",0,51,0.215384615384615
"( 0 , 150 )",0,51,0.215384615384615
"( 0 , 151 )",0,57,0.107692307692308
"( 0 , 152 )",0,53,0.184615384615385
"( 0 , 153 )",0,47,0.276923076923077
"( 0 , 154 )",0,48,0.261538461538461
"( 0 , 155 )",0,49,0.246153846153846
"( 0 , 156 )",0,53,0.184615384615385
"( 0 , 157 )",0,60,0.154929577464789
"( 0 , 158 )",0,60,0.154929577464789
"( 0 , 159 )",0,46,0.292307692307692
"( 0 , 160 )",0,46,0.292307692307692
"( 0 , 161 )",0,57,0.123076923076923
"( 0 , 162 )",0,52,0.2
"( 0 , 163 )",0,76,0.164835164835165
"( 0 , 164 )",0,52,0.2
"( 0 , 165 )",0,56,0.2
"( 0 , 166 )",0,53,0.184615384615385
"( 0 , 167 )",0.125988157669742,57,0.197183098591549
"( 0 , 168 )",0,52,0.2
"( 0 , 169 )",0,56,0.138461538461538
"( 0 , 170 )",0.125988157669742,62,0.295454545454545
"( 0 , 171 )",0,54,0.169230769230769
"( 0 , 172 )",0.133630620956212,53,0.273972602739726
"( 0 , 173 )",0,60,0.220779220779221
"( 0 , 174 )",0,49,0.246153846153846
"( 0 , 175 )",0,55,0.266666666666667
"( 0 , 176 )",0,75,0.210526315789474
"( 0 , 177 )",0.161164592805076,102,0.215384615384615
"( 0 , 178 )",0,55,0.225352112676056
"( 0 , 179 )",0,52,0.2
"( 0 , 180 )",0,56,0.138461538461538
"( 0 , 181 )",0,51,0.215384615384615
"( 0 , 182 )",0,53,0.184615384615385
"( 0 , 183 )",0,52,0.223880597014925
"( 0 , 184 )",0.113960576459638,96,0.225806451612903
"( 0 , 185 )",0,54,0.169230769230769
"( 0 , 186 )",0,48,0.261538461538461
"( 0 , 187 )",0,51,0.215384615384615
"( 0 , 188 )",0,52,0.2
"( 0 , 189 )",0,56,0.222222222222222
"( 0 , 190 )",0,56,0.138461538461538
"( 0 , 191 )",0,55,0.153846153846154
"( 0 , 192 )",0,49,0.246153846153846
"( 0 , 193 )",0,54,0.169230769230769
"( 0 , 194 )",0.154303349962092,55,0.153846153846154
"( 0 , 195 )",0,77,0.214285714285714
"( 0 , 196 )",0,54,0.169230769230769
"( 0 , 197 )",0,53,0.184615384615385
"( 0 , 198 )",0,58,0.147058823529412
"( 0 , 199 )",0,54,0.153846153846154
"( 0 , 200 )",0,50,0.230769230769231
"( 0 , 201 )",0,52,0.2
"( 0 , 202 )",0,53,0.184615384615385
"( 0 , 203 )",0.142857142857143,62,0.162162162162162
"( 0 , 204 )",0,52,0.2
"( 0 , 205 )",0,61,0.197368421052632
"( 0 , 206 )",0.125988157669742,78,0.235294117647059
"( 0 , 207 )",0,52,0.2
"( 0 , 208 )",0.218217890235992,54,0.169230769230769
"( 0 , 209 )",0.188982236504614,46,0.292307692307692
"( 0 , 210 )",0.239045721866879,51,0.260869565217391
"( 0 , 211 )",0,52,0.2
"( 0 , 212 )",0,60,0.178082191780822
"( 0 , 213 )",0,87,0.201834862385321
"( 0 , 214 )",0,61,0.0615384615384615
"( 0 , 215 )",0,49,0.246153846153846
"( 0 , 216 )",0.188982236504614,49,0.246153846153846
"( 0 , 217 )",0.188982236504614,52,0.2
"( 0 , 218 )",0.169030850945703,54,0.169230769230769
"( 0 , 219 )",0.169030850945703,54,0.169230769230769
"( 0 , 220 )",0.188982236504614,54,0.169230769230769
"( 0 , 221 )",0,53,0.184615384615385
"( 0 , 222 )",0,55,0.153846153846154
"( 0 , 223 )",0,52,0.2
"( 0 , 224 )",0.154303349962092,52,0.2
"( 0 , 225 )",0.119522860933439,63,0.192307692307692
"( 0 , 226 )",0.142857142857143,55,0.153846153846154
"( 0 , 227 )",0,56,0.164179104477612
"( 0 , 228 )",0,56,0.138461538461538
"( 0 , 229 )",0.125988157669742,57,0.123076923076923
"( 0 , 230 )",0.133630620956212,56,0.2
"( 0 , 231 )",0,54,0.217391304347826
"( 0 , 232 )",0,68,0.252747252747253
"( 0 , 233 )",0,84,0.229357798165138
"( 0 , 234 )",0,58,0.246753246753247
"( 0 , 235 )",0,50,0.230769230769231
"( 0 , 236 )",0,53,0.184615384615385
"( 0 , 237 )",0,55,0.276315789473684
"( 0 , 238 )",0,52,0.2
"( 0 , 239 )",0,51,0.215384615384615
"( 0 , 240 )",0,58,0.144927536231884
"( 0 , 241 )",0,50,0.215384615384615
"( 0 , 242 )",0,61,0.197368421052632
"( 0 , 243 )",0,57,0.208333333333333
"( 1 , 0 )",0.571428571428571,60,0.166666666666667
"( 1 , 1 )",1,0,1
"( 1 , 2 )",0.50395263067897,60,0.333333333333333
"( 1 , 3 )",0,64,0.111111111111111
"( 1 , 4 )",0,56,0.222222222222222
"( 1 , 5 )",0,55,0.236111111111111
"( 1 , 6 )",0,60,0.166666666666667
"( 1 , 7 )",0,60,0.166666666666667
