"","tfidf simlarity","edit distance","edit distance similarity"
"( 0 , 0 )",1,0,1
"( 0 , 1 )",0,45,0.134615384615385
"( 0 , 2 )",0.308606699924184,62,0.184210526315789
"( 0 , 3 )",0.166666666666667,52,0.277777777777778
"( 0 , 4 )",0,60,0.220779220779221
"( 0 , 5 )",0,66,0.204819277108434
"( 0 , 6 )",0,83,0.258928571428571
"( 0 , 7 )",0.144337567297406,51,0.203125
"( 0 , 8 )",0,60,0.210526315789474
"( 0 , 9 )",0,43,0.173076923076923
"( 0 , 10 )",0,58,0.205479452054795
"( 0 , 11 )",0,68,0.244444444444444
"( 0 , 12 )",0,51,0.238805970149254
"( 0 , 13 )",0,58,0.233766233766234
"( 0 , 14 )",0,41,0.211538461538462
"( 0 , 15 )",0,43,0.153846153846154
"( 0 , 16 )",0,38,0.269230769230769
"( 0 , 17 )",0,38,0.269230769230769
"( 0 , 18 )",0,45,0.134615384615385
"( 0 , 19 )",0,42,0.263157894736842
"( 0 , 20 )",0,62,0.184210526315789
"( 0 , 21 )",0,44,0.153846153846154
"( 0 , 22 )",0,49,0.155172413793103
"( 0 , 23 )",0,43,0.173076923076923
"( 0 , 24 )",0,96,0.2
"( 0 , 25 )",0,63,0.231707317073171
"( 0 , 26 )",0,46,0.115384615384615
"( 0 , 27 )",0,66,0.241379310344828
"( 0 , 28 )",0,52,0.1875
"( 0 , 29 )",0,66,0.232558139534884
"( 0 , 30 )",0,42,0.192307692307692
"( 0 , 31 )",0.182574185835055,43,0.173076923076923
"( 0 , 32 )",0.166666666666667,40,0.230769230769231
"( 0 , 33 )",0,41,0.211538461538462
"( 0 , 34 )",0,36,0.307692307692308
"( 0 , 35 )",0,45,0.134615384615385
"( 0 , 36 )",0,46,0.220338983050847
"( 0 , 37 )",0,43,0.306451612903226
"( 0 , 38 )",0.182574185835055,34,0.346153846153846
"( 0 , 39 )",0,42,0.192307692307692
"( 0 , 40 )",0.144337567297406,47,0.253968253968254
"( 0 , 41 )",0,41,0.211538461538462
"( 0 , 42 )",0,51,0.28169014084507
"( 0 , 43 )",0,70,0.247311827956989
