"","tfidf simlarity","edit distance","edit distance similarity"
"( 0 , 0 )",1,0,1
"( 0 , 1 )",0,30,0.230769230769231
"( 0 , 2 )",0,30,0.230769230769231
"( 0 , 3 )",0.149071198499986,65,0.277777777777778
"( 0 , 4 )",0,54,0.228571428571429
"( 0 , 5 )",0,39,0.22
"( 0 , 6 )",0,67,0.220930232558139
"( 0 , 7 )",0,35,0.239130434782609
"( 0 , 8 )",0,56,0.253333333333333
"( 0 , 9 )",0,56,0.222222222222222
"( 0 , 10 )",0,55,0.225352112676056
"( 0 , 11 )",0.169030850945703,42,0.263157894736842
"( 0 , 12 )",0,33,0.282608695652174
"( 0 , 13 )",0.182574185835055,35,0.102564102564103
"( 0 , 14 )",0,33,0.282608695652174
"( 0 , 15 )",0,52,0.235294117647059
"( 0 , 16 )",0,49,0.246153846153846
"( 0 , 17 )",0,32,0.17948717948718
"( 0 , 18 )",0,44,0.290322580645161
"( 0 , 19 )",0,44,0.241379310344828
"( 0 , 20 )",0,102,0.170731707317073
"( 0 , 21 )",0,45,0.262295081967213
"( 0 , 22 )",0,52,0.235294117647059
"( 0 , 23 )",0,47,0.276923076923077
"( 0 , 24 )",0,60,0.230769230769231
"( 0 , 25 )",0,39,0.264150943396226
"( 0 , 26 )",0,44,0.214285714285714
"( 0 , 27 )",0.149071198499986,36,0.294117647058823
"( 0 , 28 )",0,54,0.25
"( 0 , 29 )",0.182574185835055,35,0.102564102564103
"( 0 , 30 )",0.169030850945703,50,0.193548387096774
"( 0 , 31 )",0,32,0.17948717948718
"( 0 , 32 )",0.158113883008419,43,0.306451612903226
"( 0 , 33 )",0,40,0.245283018867924
"( 0 , 34 )",0,34,0.358490566037736
"( 0 , 35 )",0,36,0.320754716981132
"( 0 , 36 )",0,40,0.333333333333333
"( 0 , 37 )",0,40,0.333333333333333
"( 0 , 38 )",0,38,0.321428571428571
"( 0 , 39 )",0.169030850945703,50,0.193548387096774
"( 0 , 40 )",0,31,0.205128205128205
"( 0 , 41 )",0,40,0.245283018867924
"( 0 , 42 )",0,38,0.191489361702128
"( 0 , 43 )",0,39,0.264150943396226
"( 0 , 44 )",0,41,0.240740740740741
"( 0 , 45 )",0,50,0.238805970149254
"( 0 , 46 )",0,48,0.225806451612903
"( 0 , 47 )",0.169030850945703,46,0.292307692307692
"( 0 , 48 )",0,41,0.240740740740741
"( 0 , 49 )",0,42,0.275862068965517
"( 0 , 50 )",0,47,0.241935483870968
"( 0 , 51 )",0,32,0.17948717948718
"( 0 , 52 )",0,39,0.152173913043478
"( 0 , 53 )",0,32,0.17948717948718
"( 0 , 54 )",0.182574185835055,34,0.19047619047619
"( 0 , 55 )",0.169030850945703,50,0.242424242424242
"( 0 , 56 )",0,37,0.177777777777778
"( 0 , 57 )",0,37,0.195652173913043
"( 0 , 58 )",0,35,0.102564102564103
"( 0 , 59 )",0.2,34,0.260869565217391
"( 0 , 60 )",0.169030850945703,51,0.291666666666667
"( 0 , 61 )",0,32,0.17948717948718
"( 0 , 62 )",0.223606797749979,29,0.256410256410256
"( 0 , 63 )",0,81,0.198019801980198
"( 0 , 64 )",0,34,0.128205128205128
"( 0 , 65 )",0,29,0.256410256410256
"( 0 , 66 )",0,61,0.197368421052632
"( 0 , 67 )",0.182574185835055,36,0.2
